,city,lat,long
0,Allentsteig,48.6968409,15.3282162
1,Altheim,48.2486681,13.2287963
2,Althofen,46.871468500000006,14.47808709839141
3,Amstetten,48.1230586,14.8715928
4,Ansfelden,48.2119836,14.2790828
5,Attnang-Puchheim,48.0126112,13.7208855
6,Bad Aussee,47.599096,13.7767752
7,Bad Hall,48.0351437,14.2085141
8,Bad Ischl,47.7121443,13.6275442
9,Bad Leonfelden,48.522652449999995,14.29294098971722
10,Bad Radkersburg,46.6994918,15.9934162
11,Bad St. Leonhard im Lavanttal,46.9646368,14.7887727
12,Bad Vöslau,47.9655519,16.2148073
13,Baden,48.0085749,16.2334951
14,Bärnbach,47.278604,16.007439
15,Berndorf,47.95012585,16.116442756285316
16,Bischofshofen,47.4083879,13.2151552
17,Bleiburg,46.5901571,14.7941488
18,Bludenz,47.153037,9.8219314
19,Braunau am Inn,48.2578088,13.0354126
20,Bregenz,47.5025779,9.7472924
21,Bruck an der Leitha,48.0255094,16.7790041
22,Bruck an der Mur,47.4138843,15.2794981
23,Deutsch-Wagram,48.2959872,16.5568452
24,Deutschlandsberg,46.8257931,15.222690668626708
25,Dornbirn,47.4165382,9.7330136
26,Drosendorf-Zissersdorf,48.8483327,15.646721583285071
27,Dürnstein,48.3953879,15.5203111
28,Ebenfurth,47.8774622,16.372311
29,Ebreichsdorf,47.962254,16.4029664
30,Eferding,48.311715,14.0262949
31,Eggenburg,48.6432222,15.8162695
32,Eisenerz,47.5451536,14.879446
33,Eisenstadt,47.8454821,16.5249288
34,Enns,48.2077878,14.4669324
35,Fehring,46.93620475,16.00951399790874
36,Feldbach,46.9454277,15.8856859
37,Feldkirch,47.2375671,9.5981724
38,Feldkirchen in Kärnten,46.72155175,14.09946976355716
39,Ferlach,46.5310554,14.3142586
40,Fischamend,48.1179472,16.6124745
41,Frauenkirchen,47.8405605,16.9162273
42,Freistadt,48.5113961,14.5046752
43,Friedberg,47.4347121,16.0539216
44,Friesach,46.9465686,14.4107524
45,Frohnleiten,47.2663303,15.3270095
46,Fürstenfeld,47.0636445,16.0825947
47,Gallneukirchen,48.3539234,14.4154443
